7418	8579
7203	8346
7443	8349
7367	8306
7520	8429
7339	8324
7337	8240
7402	8218
7532	8508
7351	8329
7439	8109
7306	8325
7297	8370
7418	8325
7290	8123
7433	8334
7346	8303
7256	8452
7466	8383
7450	8379
7279	8487
7339	8302
7463	8381
7365	8278
7467	8184
7218	8269
7394	8317
7230	8475
7297	8211
7293	8299
7383	8479
7174	8321
7313	8291
7241	8133
7376	8417
7323	8140
7373	8464
7296	8357
7411	8458
7374	8574
7434	8424
7298	8299
7241	8392
7460	8344
7363	8239
7569	8228
7331	8272
7225	8610
7394	8625
7313	8257
7222	8496
7277	8340
7382	8320
7342	8419
7286	8466
7240	8171
7404	8455
7196	8129
7384	8271
7476	8274
7494	8324
7455	8490
7510	8316
7292	8384
7451	8250
7365	8317
7257	8224
7311	8323
7351	8302
7170	8432
7316	8396
7165	8349
7383	8542
7319	8453
7252	8388
7339	8383
7288	8303
7393	8495
7393	8290
7549	8310
7409	8506
7177	8540
7365	8298
7425	8367
7397	8333
7449	8451
7154	8251
7179	8370
7391	8179
7309	8502
7297	8265
7098	8366
7281	8429
7271	8092
7523	8339
7366	8235
7253	8235
7532	8433
7422	8436
7264	8474
7743	2378
7828	2150
7737	2359
7609	2444
7809	2202
7855	2203
7742	2199
7745	2272
7658	2179
7708	2306
7658	2435
7683	2255
7548	2238
7655	2223
7689	2347
7652	2415
7645	2393
7725	2430
7665	2283
7788	2228
7646	2323
7604	2135
7892	2370
7553	2228
7725	2214
7537	2334
7763	2406
7700	2244
7704	2406
7660	2446
7765	2194
7877	2298
7673	2299
7552	2468
7786	2143
7613	2089
7654	2338
7604	2316
7823	2208
7874	2418
7715	2351
7741	2256
7575	2339
7770	2409
7521	2275
7599	2316
7708	2248
7817	2422
7486	2255
7590	2280
7715	2167
7766	2229
7785	2257
7785	2108
7463	2388
7641	2279
7648	2048
7738	2316
7533	2340
7599	2332
7718	2358
7595	2336
7411	2373
7738	2301
7662	2281
7632	2338
7655	2227
7744	2336
7644	2311
7658	2293
7603	2251
7856	2414
7581	2420
7571	2270
7497	2422
7537	2253
7837	2230
7685	2270
7620	2333
7665	2104
7599	2401
7687	2463
7616	2280
7674	2375
7471	2438
7723	2211
7806	2437
7611	2387
7711	2347
7528	2156
7779	2335
7777	2254
7613	2443
7673	2407
7598	2208
7710	2267
7538	2225
7622	2204
7575	2362
7661	2333
9307	2680
9297	2898
9336	2840
9414	2747
9562	2950
9509	3023
9430	2770
9212	2890
9515	2877
9410	2953
9452	2925
9292	3005
9246	2852
9209	2707
9407	2803
9479	2894
9268	2871
9312	2830
9192	2805
9462	2921
9165	2789
9642	2774
9498	2936
9305	2998
9243	2686
9203	2891
9545	2791
9491	2735
9208	2961
9434	2873
9581	2871
9520	2820
9463	2731
9345	2814
9315	2934
9699	2992
9422	2991
9347	2881
9637	2844
9473	2818
9164	2778
9237	2765
9382	3046
9577	3070
9361	2770
9371	2817
9201	2887
9401	3003
9092	2743
9446	2787
9374	2791
9696	2837
9409	2985
9348	2752
9466	2814
9266	2946
9254	2749
9404	2995
9420	2936
9358	2856
9542	2859
9566	2807
9435	2904
9364	2968
9307	3034
9194	2803
9531	2889
9448	2898
9276	3068
9252	2791
9294	2957
9333	2840
9331	2982
9389	2861
9397	2799
